initialRegeneration,time,Down > 0
Up Clock @ error|0 waitClock|0,67.0,0.000280515
Up Clock @ error|0 waitClock|0,67.5,0.000288325
Up Clock @ error|0 waitClock|0,68.0,0.000296288
Up Clock @ error|0 waitClock|0,68.5,0.000304405
Up Clock @ error|0 waitClock|0,69.0,0.000312677
Up Clock @ error|0 waitClock|0,69.5,0.000321108
Up Clock @ error|0 waitClock|0,70.0,0.000329698
Up Clock @ error|0 waitClock|0,70.5,0.000338448
Up Clock @ error|0 waitClock|0,71.0,0.000347362
Up Clock @ error|0 waitClock|0,71.5,0.000356439
Up Clock @ error|0 waitClock|0,72.0,0.000365683
Up Clock @ error|0 waitClock|0,72.5,0.000375094
Up Clock @ error|0 waitClock|0,73.0,0.000384675
Up Clock @ error|0 waitClock|0,73.5,0.000394426
Up Clock @ error|0 waitClock|0,74.0,0.000404350
Up Clock @ error|0 waitClock|0,74.5,0.000414449
Up Clock @ error|0 waitClock|0,75.0,0.000424724
Up Clock @ error|0 waitClock|0,75.5,0.000435176
Up Clock @ error|0 waitClock|0,76.0,0.000445807
Up Clock @ error|0 waitClock|0,76.5,0.000456620
Up Clock @ error|0 waitClock|0,77.0,0.000467615
Up Clock @ error|0 waitClock|0,77.5,0.000478795
Up Clock @ error|0 waitClock|0,78.0,0.000490161
Up Clock @ error|0 waitClock|0,78.5,0.000501714
Up Clock @ error|0 waitClock|0,79.0,0.000513457
Up Clock @ error|0 waitClock|0,79.5,0.000525391
Up Clock @ error|0 waitClock|0,80.0,0.000537518
Up Clock @ error|0 waitClock|0,80.5,0.000549839
Up Clock @ error|0 waitClock|0,81.0,0.000562356
Up Clock @ error|0 waitClock|0,81.5,0.000575071
Up Clock @ error|0 waitClock|0,82.0,0.000587985
Up Clock @ error|0 waitClock|0,82.5,0.000601100
Up Clock @ error|0 waitClock|0,83.0,0.000614418
Up Clock @ error|0 waitClock|0,83.5,0.000627941
Up Clock @ error|0 waitClock|0,84.0,0.000641669
Up Clock @ error|0 waitClock|0,84.5,0.000655605
Up Clock @ error|0 waitClock|0,85.0,0.000669751
Up Clock @ error|0 waitClock|0,85.5,0.000684108
Up Clock @ error|0 waitClock|0,86.0,0.000698677
Up Clock @ error|0 waitClock|0,86.5,0.000713461
Up Clock @ error|0 waitClock|0,87.0,0.000728461
Up Clock @ error|0 waitClock|0,87.5,0.000743678
Up Clock @ error|0 waitClock|0,88.0,0.000759115
Up Clock @ error|0 waitClock|0,88.5,0.000774773
Up Clock @ error|0 waitClock|0,89.0,0.000790653
Up Clock @ error|0 waitClock|0,89.5,0.000806757
Up Clock @ error|0 waitClock|0,90.0,0.000823088
Up Clock @ error|0 waitClock|0,90.5,0.000839646
