initialRegeneration,time,"If(Ko+Detected>0 || Rej>0,1,0)"
Ok Clock @ error|0 w|0,387,2.685429819
Ok Clock @ error|0 w|0,388,2.692301682
Ok Clock @ error|0 w|0,389,2.699849715
Ok Clock @ error|0 w|0,390,2.704675681
Ok Clock @ error|0 w|0,391,2.706930558
Ok Clock @ error|0 w|0,392,2.710673243
Ok Clock @ error|0 w|0,393,2.718736730
Ok Clock @ error|0 w|0,394,2.727549130
Ok Clock @ error|0 w|0,395,2.733127090
Ok Clock @ error|0 w|0,396,2.735662417
Ok Clock @ error|0 w|0,397,2.736900813
Ok Clock @ error|0 w|0,398,2.737828059
Ok Clock @ error|0 w|0,399,2.738715283
Ok Clock @ error|0 w|0,400,2.739604370
Ok Clock @ error|0 w|0,401,2.740499218
Ok Clock @ error|0 w|0,402,2.741400511
Ok Clock @ error|0 w|0,403,2.742308839
Ok Clock @ error|0 w|0,404,2.743224765
Ok Clock @ error|0 w|0,405,2.744148801
Ok Clock @ error|0 w|0,406,2.751902233
Ok Clock @ error|0 w|0,407,2.772384277
Ok Clock @ error|0 w|0,408,2.795527182
Ok Clock @ error|0 w|0,409,2.809587003
Ok Clock @ error|0 w|0,410,2.814935437
Ok Clock @ error|0 w|0,411,2.816734673
Ok Clock @ error|0 w|0,412,2.817776362
Ok Clock @ error|0 w|0,413,2.818735867
Ok Clock @ error|0 w|0,414,2.833225902
Ok Clock @ error|0 w|0,415,2.866109783
Ok Clock @ error|0 w|0,416,2.907908650
Ok Clock @ error|0 w|0,417,2.946782941
Ok Clock @ error|0 w|0,418,2.967382637
Ok Clock @ error|0 w|0,419,2.972866974
Ok Clock @ error|0 w|0,420,2.974137255
Ok Clock @ error|0 w|0,421,2.975004682
Ok Clock @ error|0 w|0,422,2.975855568
Ok Clock @ error|0 w|0,423,2.976692481
Ok Clock @ error|0 w|0,424,2.977518689
Ok Clock @ error|0 w|0,425,2.978337760
Ok Clock @ error|0 w|0,426,2.979153153
Ok Clock @ error|0 w|0,427,2.979967962
Ok Clock @ error|0 w|0,428,2.980784812
Ok Clock @ error|0 w|0,429,2.981605849
Ok Clock @ error|0 w|0,430,2.982807459
Ok Clock @ error|0 w|0,431,2.984826931
Ok Clock @ error|0 w|0,432,2.987242800
Ok Clock @ error|0 w|0,433,2.989269748
Ok Clock @ error|0 w|0,434,2.990685033
Ok Clock @ error|0 w|0,435,2.991728622
Ok Clock @ error|0 w|0,436,2.992643615
Ok Clock @ error|0 w|0,437,2.993535662
Ok Clock @ error|0 w|0,438,2.994432129
Ok Clock @ error|0 w|0,439,2.995963767
Ok Clock @ error|0 w|0,440,2.998616641
Ok Clock @ error|0 w|0,441,3.037167396
Ok Clock @ error|0 w|0,442,3.119039846
Ok Clock @ error|0 w|0,443,3.181518677
Ok Clock @ error|0 w|0,444,3.207022025
Ok Clock @ error|0 w|0,445,3.223571413
Ok Clock @ error|0 w|0,446,3.238472582
Ok Clock @ error|0 w|0,447,3.247513642
Ok Clock @ error|0 w|0,448,3.251282676
Ok Clock @ error|0 w|0,449,3.252801496
Ok Clock @ error|0 w|0,450,3.253769173
Ok Clock @ error|0 w|0,451,3.254653925
Ok Clock @ error|0 w|0,452,3.255529177
Ok Clock @ error|0 w|0,453,3.256402834
Ok Clock @ error|0 w|0,454,3.257277088
Ok Clock @ error|0 w|0,455,3.258153774
Ok Clock @ error|0 w|0,456,3.259034493
Ok Clock @ error|0 w|0,457,3.262556650
Ok Clock @ error|0 w|0,458,3.270666491
Ok Clock @ error|0 w|0,459,3.282245664
Ok Clock @ error|0 w|0,460,3.294444202
Ok Clock @ error|0 w|0,461,3.302899763
Ok Clock @ error|0 w|0,462,3.306726522
Ok Clock @ error|0 w|0,463,3.308271810
Ok Clock @ error|0 w|0,464,3.309258829
Ok Clock @ error|0 w|0,465,3.310179891
Ok Clock @ error|0 w|0,466,3.311100541
Ok Clock @ error|0 w|0,467,3.312024740
Ok Clock @ error|0 w|0,468,3.312953330
Ok Clock @ error|0 w|0,469,3.313887252
Ok Clock @ error|0 w|0,470,3.314827436
Ok Clock @ error|0 w|0,471,3.329592380
Ok Clock @ error|0 w|0,472,3.363117338
Ok Clock @ error|0 w|0,473,3.392206475
Ok Clock @ error|0 w|0,474,3.404853599
Ok Clock @ error|0 w|0,475,3.408436408
Ok Clock @ error|0 w|0,476,3.409748371
Ok Clock @ error|0 w|0,477,3.410760087
Ok Clock @ error|0 w|0,478,3.411739205
Ok Clock @ error|0 w|0,479,3.412710512
Ok Clock @ error|0 w|0,480,3.413681595
Ok Clock @ error|0 w|0,481,3.414656012
Ok Clock @ error|0 w|0,482,3.416119767
Ok Clock @ error|0 w|0,483,3.418637424
Ok Clock @ error|0 w|0,484,3.421663851
Ok Clock @ error|0 w|0,485,3.424184115
Ok Clock @ error|0 w|0,486,3.425910620
Ok Clock @ error|0 w|0,487,3.427536608
Ok Clock @ error|0 w|0,488,3.429820755
Ok Clock @ error|0 w|0,489,3.432466790
Ok Clock @ error|0 w|0,490,3.434708483
Ok Clock @ error|0 w|0,491,3.436326043
Ok Clock @ error|0 w|0,492,3.437565475
Ok Clock @ error|0 w|0,493,3.469430320
Ok Clock @ error|0 w|0,494,3.539261925
Ok Clock @ error|0 w|0,495,3.593011945
Ok Clock @ error|0 w|0,496,3.613261921
Ok Clock @ error|0 w|0,497,3.622470803
Ok Clock @ error|0 w|0,498,3.629693578
Ok Clock @ error|0 w|0,499,3.634274832
Ok Clock @ error|0 w|0,500,3.636580420
Ok Clock @ error|0 w|0,501,3.640193622
Ok Clock @ error|0 w|0,502,3.648145916
Ok Clock @ error|0 w|0,503,3.657711938
Ok Clock @ error|0 w|0,504,3.664593476
Ok Clock @ error|0 w|0,505,3.668117793
Ok Clock @ error|0 w|0,506,3.669858074
Ok Clock @ error|0 w|0,507,3.671048152
Ok Clock @ error|0 w|0,508,3.672135060
Ok Clock @ error|0 w|0,509,3.677756256
Ok Clock @ error|0 w|0,510,3.691275663
Ok Clock @ error|0 w|0,511,3.708838128
Ok Clock @ error|0 w|0,512,3.724778412
Ok Clock @ error|0 w|0,513,3.734774616
Ok Clock @ error|0 w|0,514,3.739110710
Ok Clock @ error|0 w|0,515,3.740882378
Ok Clock @ error|0 w|0,516,3.744935984
Ok Clock @ error|0 w|0,517,3.752917787
Ok Clock @ error|0 w|0,518,3.760098348
Ok Clock @ error|0 w|0,519,3.763805930
Ok Clock @ error|0 w|0,520,3.765486458
Ok Clock @ error|0 w|0,521,3.766640118
Ok Clock @ error|0 w|0,522,3.767729092
Ok Clock @ error|0 w|0,523,3.768817444
Ok Clock @ error|0 w|0,524,3.769909636
Ok Clock @ error|0 w|0,525,3.771058891
Ok Clock @ error|0 w|0,526,3.772347076
Ok Clock @ error|0 w|0,527,3.773742170
Ok Clock @ error|0 w|0,528,3.775115621
Ok Clock @ error|0 w|0,529,3.776392439
Ok Clock @ error|0 w|0,530,3.789979956
Ok Clock @ error|0 w|0,531,3.815914862
Ok Clock @ error|0 w|0,532,3.832688566
Ok Clock @ error|0 w|0,533,3.837368804
Ok Clock @ error|0 w|0,534,3.839068042
Ok Clock @ error|0 w|0,535,3.841054189
Ok Clock @ error|0 w|0,536,3.856498264
Ok Clock @ error|0 w|0,537,3.890725121
Ok Clock @ error|0 w|0,538,3.921698341
Ok Clock @ error|0 w|0,539,3.937228978
Ok Clock @ error|0 w|0,540,3.944877521
Ok Clock @ error|0 w|0,541,3.950621677
Ok Clock @ error|0 w|0,542,3.954831252
Ok Clock @ error|0 w|0,543,3.957356873
Ok Clock @ error|0 w|0,544,3.958877723
Ok Clock @ error|0 w|0,545,3.960037315
Ok Clock @ error|0 w|0,546,3.961114397
Ok Clock @ error|0 w|0,547,3.962181913
Ok Clock @ error|0 w|0,548,3.963252993
Ok Clock @ error|0 w|0,549,3.964330160
Ok Clock @ error|0 w|0,550,3.996813900
Ok Clock @ error|0 w|0,551,4.068040996
Ok Clock @ error|0 w|0,552,4.123148626
Ok Clock @ error|0 w|0,553,4.144917341
Ok Clock @ error|0 w|0,554,4.156820368
Ok Clock @ error|0 w|0,555,4.167951529
Ok Clock @ error|0 w|0,556,4.176045388
Ok Clock @ error|0 w|0,557,4.180266601
Ok Clock @ error|0 w|0,558,4.182256184
Ok Clock @ error|0 w|0,559,4.183497235
Ok Clock @ error|0 w|0,560,4.184581379
Ok Clock @ error|0 w|0,561,4.187601912
Ok Clock @ error|0 w|0,562,4.194022139
Ok Clock @ error|0 w|0,563,4.203452774
Ok Clock @ error|0 w|0,564,4.213942422
Ok Clock @ error|0 w|0,565,4.221520286
Ok Clock @ error|0 w|0,566,4.229777185
Ok Clock @ error|0 w|0,567,4.244095624
Ok Clock @ error|0 w|0,568,4.259018339
Ok Clock @ error|0 w|0,569,4.268055645
Ok Clock @ error|0 w|0,570,4.271872228
Ok Clock @ error|0 w|0,571,4.273536486
Ok Clock @ error|0 w|0,572,4.274690234
Ok Clock @ error|0 w|0,573,4.275770723
Ok Clock @ error|0 w|0,574,4.276845571
Ok Clock @ error|0 w|0,575,4.277922367
Ok Clock @ error|0 w|0,576,4.279003057
Ok Clock @ error|0 w|0,577,4.280178642
